date,GPT-4,Llama 3,Gemini AI,Claude 3,Mistral AI
2025-05-17,2,0,37,0,0
2025-05-18,0,0,40,0,0
2025-05-19,2,1,58,2,1
2025-05-20,2,1,63,1,1
2025-05-21,1,2,71,1,2
2025-05-22,2,3,67,2,1
2025-05-23,1,2,61,2,2
2025-05-24,1,2,45,2,0
2025-05-25,1,2,47,0,1
2025-05-26,1,0,51,2,0
2025-05-27,0,1,65,1,2
2025-05-28,2,2,67,2,1
2025-05-29,1,2,71,2,1
2025-05-30,2,3,62,1,1
2025-05-31,0,1,55,1,1
2025-06-01,0,2,49,0,0
2025-06-02,2,0,60,1,2
2025-06-03,1,1,67,2,2
2025-06-04,2,2,63,1,0
2025-06-05,3,3,70,3,2
2025-06-06,2,2,63,3,2
2025-06-07,4,2,50,2,1
2025-06-08,3,2,53,2,1
2025-06-09,3,2,64,3,2
2025-06-10,3,2,100,3,3
2025-06-11,3,2,79,2,4
2025-06-12,4,3,79,2,3
2025-06-13,3,3,67,3,2
2025-06-14,2,2,47,2,2
2025-06-15,2,2,51,3,1
2025-06-16,2,2,68,3,2
2025-06-17,3,2,71,3,1
2025-06-18,3,3,70,3,2
2025-06-19,3,3,63,3,2
2025-06-20,3,2,62,3,2
2025-06-21,3,2,50,2,1
2025-06-22,2,2,51,3,2
2025-06-23,3,2,65,3,2
2025-06-24,3,2,71,4,2
2025-06-25,2,3,73,4,2
2025-06-26,3,3,77,3,3
2025-06-27,3,3,74,4,2
2025-06-28,2,1,59,4,1
2025-06-29,3,2,54,3,3
2025-06-30,3,3,69,3,2
2025-07-01,2,3,74,2,2
2025-07-02,2,3,67,2,2
2025-07-03,2,3,67,6,2
2025-07-04,2,2,52,4,0
2025-07-05,2,2,48,3,0
2025-07-06,2,2,54,3,2
2025-07-07,3,2,66,3,2
2025-07-08,2,2,64,3,2
2025-07-09,3,2,67,2,2
2025-07-10,4,2,69,2,2
2025-07-11,3,3,65,3,2
2025-07-12,3,2,53,2,2
2025-07-13,3,3,47,2,2
2025-07-14,4,2,67,3,2
2025-07-15,2,2,69,3,2
2025-07-16,3,3,69,4,2
2025-07-17,14,3,82,4,4
2025-07-18,6,3,70,4,3
2025-07-19,23,5,61,6,3
2025-07-20,20,6,62,4,3
2025-07-21,18,4,70,5,4
2025-07-22,12,4,74,4,3
2025-07-23,10,5,73,4,3
2025-07-24,11,4,70,4,3
2025-07-25,10,3,66,3,2
2025-07-26,11,4,53,3,3
2025-07-27,18,4,51,5,2
2025-07-28,12,5,65,4,3
2025-07-29,22,5,71,7,4
2025-07-30,37,8,77,9,5
2025-07-31,31,8,78,8,5
2025-08-01,19,5,66,5,5
2025-08-02,3,2,49,3,1
2025-08-03,1,1,45,1,1
2025-08-04,1,2,57,1,1
2025-08-05,2,1,60,1,1
2025-08-06,2,2,61,2,1
2025-08-07,3,1,65,2,1
2025-08-08,4,2,63,1,1
2025-08-09,3,1,47,1,1
2025-08-10,2,1,49,1,1
2025-08-11,3,1,63,1,2
2025-08-12,2,1,65,1,2
2025-08-13,2,1,68,1,1
2025-08-14,1,1,65,1,1
2025-08-15,2,1,59,1,1
2025-08-16,1,1,42,1,1
2025-08-17,1,1,49,1,1
