title,price,address
整層空屋出租｜中山區學區宅｜馬路邊｜好停車｜全新家,"16,000元",德安路
精一路整層住家(2房1廳1衛1廚1儲藏室),"6,500元",精一路
巷內1樓｜近62快速道路｜2房｜可住可工作室,"13,000元",福民街
麗景江山四房出租,"17,000元",深溪路
優質社宅景觀高樓層獨洗獨曬獨立雙人大套房,"7,500元",觀海街
基隆水美(山海關)社區(13車道)近電梯口平面車位,"2,700元",觀海街
六堵工業區廠房 低公設廠房交通便利大馬路旁,"140,580元",工建路
六堵工業區廠房 低公設廠房交通便利大馬路旁獨立出口,"597,550元",工建路
六堵工業區廠房分租(4F分租),"219,600元",工建西路
六堵工業區 低公設廠房,"318,600元",工建北路
水美前區山景2房,"12,000元",觀海街
租-新橫濱星野區溫馨三房+平面車位,"36,000元",復興路
【冠軍】大武崙金透店(出租),"55,000元",基金一路
新豐街路邊二樓,"22,000元",新豐街
租仁二路住辦,"15,000元",仁二路
碧海電梯漂亮大套房,"8,000元",新豐街
新豐電梯大套房,"7,000元",新豐街
崁仔頂金透店,"46,000元",忠三路
麗景稀有大三房,"17,000元",深溪路
●九如精美套房出租,"9,500元",樂利二街
租~仁愛市場旁美寓2樓,"28,000元",愛二路
義二路燙金透店,"120,000元",義二路
新豐街收租店面,"23,000元",新豐街
租~忠一路精華一樓出租,"285,000元",忠一路
新豐街電梯套房,"5,500元",新豐街
【住新房】萬隆青青-全新落成兩房,"23,500元",堵南街
基隆中正方正美寓-可租補,"12,000元",中平街
市區廟口~三坑車站套房~數戶~看屋請洽:月姐,"7,500元",南榮路
和平島美套房   (可申請租金補助),"5,500元",平一路
暖中路溫馨3房,"10,000元",暖中路
文心大香港精美套房,"9,900元",深澳坑路
義二路6樓公寓,"12,000元",義二路
●長庚商圈小店面,"10,000元",安樂路二段
正義路套房,"7,000元",正義路
義二路vs信三路（ 套房）,"7,000元",義二路
新豐優質俗套房,"4,500元",新豐街
近市區美套房(可租補),"8,000元",東信路
仁二路露臺大套房,"10,000元",仁二路
義七路3房2樓,"24,000元",義七路
百福年輕平車厝~台灣房屋 小不點,"19,000元",百六街
北寧路獨立套房  可租屋補助,"6,000元",北寧路
中正路VS武昌街4樓,"14,000元",中正路
租~基隆中平2房美寓,"12,000元",中平街
租-安一路分租大套房,"11,000元",安一路
信義城三房＋車位,"28,000元",深溪路
海科旁溫馨2房,"14,000元",調和街
陽光故鄉精美一樓,"20,000元",基金一路
七堵市區分租溫馨套房#407,"6,000元",崇孝街
租~橘郡3房,"19,000元",麥金路
國家新城里民大會堂露天角間店面,"15,000元",樂利三街
**國花電梯美套房**獨立陽台,"13,500元",基金一路
租-海洋學園庭院一樓,"20,000元",祥豐路
租-和平島店面透天,"15,000元",平一路
巴賽一房一廳,"13,500元",新豐街
倉儲住辦一樓,"12,000元",武聖街
七堵市區分租溫馨套房#401,"8,000元",崇孝街
巴賽隆納三房,"18,000元",新豐街
孝一路小金店,"35,000元",孝一路
七堵市區分租溫馨套房#405,"6,500元",崇孝街
市心優雅老宅2-4F,"38,000元",仁五路
南新街雅寓(租),"12,000元",南新街
租-雪梨灣三房(雙車位),"26,000元",和豐街
水美山景套房,"9,000元",觀海街
租-東信路馬路旁店鋪,"36,000元",東信路
七堵市區分租溫馨套房#403,"7,000元",崇孝街
●安樂路一段1+2樓店面,"28,000元",安樂路一段
港都明珠旁1＋2樓 車位,"26,800元",中正路
廟口稀有精華區1至3樓金店面(專約),"330,000元",仁三路
▲仁一路金店面透天,"47,000元",仁一路
租仁二路金店面,"65,000元",仁二路
光華國宅近市區咖啡廳/美容工作室,"26,000元",成功一路
▲仁一路雙店面,"36,000元",仁一路
租-雪梨灣三房(雙車位),"26,000元",和豐街
信二路電梯套房(租),"13,000元",信二路
田寮河旁出租店面,"26,000元",東信路
基隆車站金店面出租【中信商仲小周】,"98,888元",孝二路
基隆愛三路黃金店面,"36,000元",愛三路
基隆塔旁義二路小透店,"30,000元",義二路
東京站-黃金邊間店面,"25,000元",八堵路
信五路面寬金店面,"65,000元",信五路
出租中正路面寬大店面,"90,000元",中正路
安一路一樓店面二樓住家,"36,000元",安一路
武昌街質感裝潢邊間店面,"39,800元",武昌街
碧海絕美2房,"15,000元",新豐街
出租百福一樓-交通便利,"20,000元",福二街
租~西定路商住店面,"28,000元",西定路
光明路店住兩用~台灣房屋 小不點,"39,000元",光明路
雪梨灣景觀三房＋車位,"28,000元",和豐街
東岸循環站【吉祥企業大樓】正市區邊間採光商辦大空間,"60,000元",愛三路
出租義一路市中心透天商辦,"500,000元",義一路
早安便利A棟露台戶,"18,000元",新豐街
百福福一街店面,"25,000元",福一街
專長安七房＋車位透天,"30,000元",長安街
信義城優值3房,"23,000元",深溪路
廟口稀有精華區整棟金店面(專約)A,"550,000元",仁三路
義一屈臣氏旁2樓,"16,800元",義一路
出租廟口內住辦2至5樓,"18,000元",仁四路
仁愛市場旁二樓，商，辦，店,"60,000元",仁五路
出租天驕大2房,"17,000元",樂利三街
忠二路1樓漂亮店面,"70,000元",忠二路
君悅挑高店面,"110,000元",信二路
長安街一樓大倉庫,"18,000元",長安街
橙品32金店面,"65,000元",信五路
近基隆夜市大店面【中信商仲小周】,"750,000元",孝二路
▲愛二路三樓住辦,"16,000元",愛二路
出租孝三路住辦3樓,"15,000元",孝三路
租~北寧路一樓廠辦,"50,000元",北寧路
廟口稀有精華區1、2、3樓金店面(專約),"310,000元",仁三路
新橫濱星野區店面,"95,000元",復興路
◆富貴市場旁透店,"80,000元",義二路
【冠軍】新橫濱夢悅城店面(出租),"72,000元",復興路
孝三路住辦電梯(租),"23,000元",孝三路
出租義二路店辦二樓,"21,000元",義二路
悠活入口金店面,"45,000元",調和街
南興市場分租(適美甲 美睫 租金可談) 台屋小不點,"8,500元",南興路
小不點租廠房~七堵馬陵產業園區廠房,"350,000元",大華二路
青山艾美店面,"80,000元",實踐路
